City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
234,Yenagoa,NG,2021-04-05 02:19:00,4.9247,6.2642,77.45,91,13,3.65
235,Yabelo,ET,2021-04-05 02:19:01,4.8833,38.0833,57.79,88,26,5.03
236,Mahibadhoo,MV,2021-04-05 02:19:01,3.7833,72.9667,83.86,71,64,12.15
237,Mantua,IT,2021-04-05 02:19:02,45.1667,10.7833,39.99,70,0,4.61
238,Ahuimanu,US,2021-04-05 02:19:02,21.4447,-157.8378,78.8,78,90,14.97
239,Tual,ID,2021-04-05 02:19:03,-5.6667,132.75,83.8,72,32,5.97
240,Abu Samrah,SY,2021-04-05 02:19:03,35.3029,37.1841,49.37,75,0,4.0
241,Aljezur,PT,2021-04-05 02:19:03,37.3191,-8.8033,54.61,91,26,4.94
242,Severnyy,RU,2021-04-05 02:19:04,50.677,36.5532,32.0,93,0,4.47
243,Kamenskiy,RU,2021-04-05 02:19:04,50.8855,45.488,34.47,74,100,4.79
244,Turayf,SA,2021-04-05 02:19:04,31.6725,38.6637,48.2,53,0,3.78
245,Namibe,AO,2021-04-05 02:19:05,-15.1961,12.1522,79.48,79,33,7.45
246,Brae,GB,2021-04-05 02:19:05,60.3964,-1.353,28.4,86,75,32.21
247,Salalah,OM,2021-04-05 02:19:06,17.0151,54.0924,77.0,73,0,2.3
248,Sayansk,RU,2021-04-05 02:19:06,54.1088,102.1648,31.78,90,92,0.87
249,Ewa Beach,US,2021-04-05 02:19:07,21.3156,-158.0072,80.6,54,40,10.36
250,Paita,PE,2021-04-05 02:19:07,-5.0892,-81.1144,71.98,78,46,10.49
251,Koumac,NC,2021-04-05 02:19:08,-20.5667,164.2833,84.31,59,45,3.96
252,Utrecht,NL,2021-04-05 02:18:33,52.0,5.25,44.01,89,100,7.0
253,Nemuro,JP,2021-04-05 02:19:08,43.3236,145.575,39.2,52,75,9.22
254,Mount Isa,AU,2021-04-05 02:18:56,-20.7333,139.5,86.0,42,40,12.66
255,Payson,US,2021-04-05 02:19:09,40.0444,-111.7321,66.99,48,40,10.36
256,Lata,PT,2021-04-05 02:19:09,40.1629,-8.3327,55.0,93,75,3.44
257,Ilulissat,GL,2021-04-05 02:19:10,69.2167,-51.1,19.4,73,75,11.5
258,Emerald,AU,2021-04-05 02:19:10,-23.5333,148.1667,71.6,100,90,12.66
259,Lompoc,US,2021-04-05 02:19:10,34.6391,-120.4579,55.4,71,100,13.8
260,Celestun,MX,2021-04-05 02:19:11,20.8667,-90.4,74.53,67,6,18.3
261,Saint-Francois,FR,2021-04-05 02:19:11,46.4154,3.9054,37.0,82,1,2.91
262,Dubai,AE,2021-04-05 02:19:12,25.2582,55.3047,71.6,73,0,5.75
263,Cockburn Town,TC,2021-04-05 02:17:17,21.4612,-71.1419,73.87,72,100,24.96
264,Anadyr,RU,2021-04-05 02:19:13,64.75,177.4833,-2.0,71,0,6.71
265,Hue,VN,2021-04-05 02:19:13,16.4667,107.6,82.4,74,20,4.61
266,Seoul,KR,2021-04-05 02:19:13,37.5683,126.9778,59.0,25,0,5.75
267,Nantucket,US,2021-04-05 02:17:22,41.2835,-70.0995,46.0,67,30,17.58
268,Ulladulla,AU,2021-04-05 02:19:14,-35.35,150.4667,75.2,73,40,10.36
269,Gabu,GW,2021-04-05 02:19:14,12.2833,-14.2167,73.94,60,100,6.11
270,Gold Coast,AU,2021-04-05 02:19:15,-28.0,153.4333,72.0,94,75,11.5
271,Los Llanos De Aridane,ES,2021-04-05 02:19:15,28.6585,-17.9182,66.2,63,90,4.61
272,Vardo,NO,2021-04-05 02:19:15,70.3705,31.1107,35.6,86,89,14.56
273,Severnyy-Kospashskiy,RU,2021-04-05 02:19:16,59.0925,57.8008,27.07,97,100,7.58
274,Shebunino,RU,2021-04-05 02:19:16,46.4339,141.8603,40.3,49,0,8.61
275,Casa Grande,US,2021-04-05 02:19:17,32.8795,-111.7573,90.0,7,1,6.91
276,Makakilo City,US,2021-04-05 02:18:20,21.3469,-158.0858,80.6,54,40,10.36
277,Berlevag,NO,2021-04-05 02:19:17,70.8578,29.0864,34.54,84,100,9.98
278,Kangaatsiaq,GL,2021-04-05 02:19:18,68.3065,-53.4641,17.15,89,100,15.95
279,Quatre Cocos,MU,2021-04-05 02:19:18,-20.2078,57.7625,80.01,76,18,7.0
280,Aldan,RU,2021-04-05 02:17:02,58.6031,125.3894,13.24,88,100,7.9
281,Shingu,JP,2021-04-05 02:14:23,33.7333,135.9833,59.0,63,75,25.32
282,Port Elizabeth,ZA,2021-04-05 02:19:19,-33.918,25.5701,64.4,94,90,14.97
283,Carmen,MX,2021-04-05 02:19:19,18.6333,-91.8333,78.8,69,75,11.5
284,Najran,SA,2021-04-05 02:19:20,17.4924,44.1277,62.6,27,0,3.44
285,Tabou,CI,2021-04-05 02:19:20,4.423,-7.3528,78.57,88,9,5.08
286,Victoria,HK,2021-04-05 02:15:53,22.2855,114.1577,73.0,84,100,5.01
287,Highland Springs,US,2021-04-05 02:19:21,37.546,-77.3278,57.0,58,1,5.44
288,Mecca,SA,2021-04-05 02:19:21,21.4267,39.8261,73.24,41,3,1.54
289,Atasu,KZ,2021-04-05 02:19:22,48.6814,71.6433,37.81,94,80,21.18
290,Torbay,CA,2021-04-05 02:19:22,47.6666,-52.7314,37.99,93,90,9.22
291,A Coruna,ES,2021-04-05 02:19:22,43.3713,-8.396,42.8,100,0,7.34
